year,age,band,sex,mass,date,jday,nest,day,wet_dry,warm_cold
2011,N,64852,F,46.8,NA,0,A18_2011,14,Wet,Warm
2011,N,64883,F,43.6,NA,0,A18_2011,14,Wet,Warm
2013,N,1783-64426,,44.8,NA,0,A18_2013,14,Dry,Cold
2013,N,1783-64425,,47,NA,0,A18_2013,14,Dry,Cold
2013,N,1783-64424,,40.2,NA,0,A18_2013,14,Dry,Cold
2014,N,1783-64573,,52.4,NA,0,A18_2014,14,Dry,Warm
2005,N,64472,F,49.5,NA,0,A2_2005,14,Wet,Warm
2008,N,64637,F,46,NA,0,A2_2008,14,Dry,Cold
2008,N,64638,M,46,NA,0,A2_2008,14,Dry,Cold
2008,N,64639,M,42,NA,0,A2_2008,14,Dry,Cold
2009,N,64715,F,49.8,NA,0,A2_2009,14,Dry,Cold
2015,N,1833-03292,,30.8,NA,0,A2_2015,14,Wet,Warm
2015,N,1833-03290,,48.6,NA,0,A2_2015,14,Wet,Warm
2015,N,1833-03291,,45.4,NA,0,A2_2015,14,Wet,Warm
2006,N,64504,M,45.5,NA,0,A20_2006,14,Dry,Cold
2006,N,64505,M,44,NA,0,A20_2006,14,Dry,Cold
2016,N,1783-74372,,26.4,NA,0,A20_2016,14,Dry,Cold
2020,N,1783-74406,,53.9,NA,0,A24_2020,14,Dry,Cold
2013,N,1783-64423,,54.9,NA,0,A29_2013,14,Dry,Cold
2013,N,1783-64422,,49.7,NA,0,A29_2013,14,Dry,Cold
2014,N,1783-64548,,53.3,NA,0,A29_2014,14,Dry,Warm
2014,N,1783-64547,,53.1,NA,0,A29_2014,14,Dry,Warm
2016,N,1783-74317,,45.5,NA,0,A29_2016,14,Dry,Cold
2017,N,red,,59.5,NA,0,A29_2017,14,Dry,Warm
2007,N,64569,M,43,NA,0,A4_2007,14,Wet,Warm
2007,N,64570,M,48,NA,0,A4_2007,14,Wet,Warm
2004,N,92387,F,58,NA,0,A4_2004,14,Dry,Cold
2010,N,64815,F,45,NA,0,A4_2010,14,Dry,Cold
2012,N,1783-64340,,37.8,NA,0,A4_2012,14,Wet,Warm
2012,N,1783-64339,,40.6,NA,0,A4_2012,14,Wet,Warm
2016,N,1783-74308,,55.3,NA,0,A4_2016,14,Dry,Cold
2018,N,1833-32525,,43,NA,0,A40_2018,14,Wet,Warm
2015,N,1833-03151,,53.5,NA,0,A7_2015,14,Wet,Warm
2020,N,1833-32683,,59.3,NA,0,A7_2020,14,Dry,Cold
2020,N,1833-32684,,63,NA,0,A7_2020,14,Dry,Cold
2005,N,64443,M,42.5,NA,0,A8_2005,14,Wet,Warm
2005,N,64462,F,49,NA,0,A8_2005,14,Wet,Warm
2006,N,64517,M,47,NA,0,A8_2006,14,Dry,Cold
2007,N,64538,M,48.5,NA,0,A8_2007,14,Wet,Warm
2007,N,64539,F,50.5,NA,0,A8_2007,14,Wet,Warm
2007,N,64540,F,45.5,NA,0,A8_2007,14,Wet,Warm
2004,N,64406,M,52,NA,0,A8_2004,14,Dry,Cold
2004,N,64407,F,54.5,NA,0,A8_2004,14,Dry,Cold
2013,N,1833-64417,,50.7,NA,0,A8_2013,14,Dry,Cold
2013,N,1833-64418,,48.2,NA,0,A8_2013,14,Dry,Cold
2015,N,1833-03182,,49.2,NA,0,A8_2015,14,Wet,Warm
2020,N,1833-32680,,60,NA,0,A8_2020,14,Dry,Cold
2020,N,1833-32682,,56.5,NA,0,A8_2020,14,Dry,Cold
2016,N,1783-74363,,47.7,NA,0,B10_2016,14,Dry,Cold
2012,N,1783-64341,,38.4,NA,0,B14_2012,14,Wet,Warm
2009,N,64711,M,35.1,NA,0,B4_2009,14,Dry,Cold
2005,N,64426,F,49.5,NA,0,B5_2005,14,Wet,Warm
2005,N,64427,F,47.5,NA,0,B5_2005,14,Wet,Warm
2018,N,1833-32544,,43.4,NA,0,B8_2018,14,Wet,Warm
2004,N,1783-92389,,57,NA,0,A10_2004,15,Dry,Cold
2011,N,red,,38.2,NA,0,A10_2011,15,Wet,Warm
2011,N,64885,F,49.8,NA,0,A10_2011,15,Wet,Warm
2012,N,1593-64880,,54.2,NA,0,A10_2012,15,Wet,Warm
2012,N,1783-64303,,53.2,NA,0,A10_2012,15,Wet,Warm
2012,N,1593-64860,,58,NA,0,A10_2012,15,Wet,Warm
2016,N,1833-03394,,54.2,NA,0,A10_2016,15,Dry,Cold
2016,N,1833-03395,,52.1,NA,0,A10_2016,15,Dry,Cold
2005,N,64423,M,54.5,NA,0,A11_2005,15,Wet,Warm
2005,N,64424,F,58,NA,0,A11_2005,15,Wet,Warm
2006,N,64493,F,45,NA,0,A27_2006,15,Dry,Cold
2006,N,64494,M,41,NA,0,A27_2006,15,Dry,Cold
2005,N,64463,F,51.5,NA,0,A13_2005,15,Wet,Warm
2005,N,64464,M,46.5,NA,0,A13_2005,15,Wet,Warm
2005,N,64465,M,49.5,NA,0,A13_2005,15,Wet,Warm
2004,N,92370,,51.5,NA,0,A13_2004,15,Dry,Cold
2016,N,1783-74313,,51.1,NA,0,A13_2016,15,Dry,Cold
2016,N,1783-74314,,50,NA,0,A13_2016,15,Dry,Cold
2018,N,1833-32541,,59.6,NA,0,A13_2018,15,Wet,Warm
2014,N,1783-64559,,52.8,NA,0,A15_2014,15,Dry,Warm
2014,N,1783-64560,,48.9,NA,0,A15_2014,15,Dry,Warm
2016,N,1833-03399,,50.6,NA,0,A15_2016,15,Dry,Cold
2004,N,92365,F,50,NA,0,A18_2004,15,Dry,Cold
2004,N,92366,M,54,NA,0,A18_2004,15,Dry,Cold
2010,N,64779,F,36.5,NA,0,A18_2010,15,Dry,Cold
2010,N,64778,,46.4,NA,0,A18_2010,15,Dry,Cold
2010,N,64780,F,52,NA,0,A18_2010,15,Dry,Cold
2011,N,red,,42.7,NA,0,A18_2011,15,Wet,Warm
2011,N,64852,F,48.7,NA,0,A18_2011,15,Wet,Warm
2011,N,64883,F,48.2,NA,0,A18_2011,15,Wet,Warm
2013,N,1783-64426,,47.2,NA,0,A18_2013,15,Dry,Cold
2013,N,1783-64425,,48,NA,0,A18_2013,15,Dry,Cold
2013,N,1783-64424,,42.8,NA,0,A18_2013,15,Dry,Cold
2014,N,1783-64574,,58.8,NA,0,A18_2014,15,Dry,Warm
2005,N,64477,M,56,NA,0,A2_2005,15,Wet,Warm
2006,N,64499,M,42,NA,0,A2_2006,15,Dry,Cold
2006,N,64522,F,42.5,NA,0,A2_2006,15,Dry,Cold
2008,N,64637,F,50,NA,0,A2_2008,15,Dry,Cold
2008,N,64638,M,50,NA,0,A2_2008,15,Dry,Cold
2008,N,64639,M,46,NA,0,A2_2008,15,Dry,Cold
2009,N,64693,F,35.4,NA,0,A2_2009,15,Dry,Cold
2009,N,64714,F,44.4,NA,0,A2_2009,15,Dry,Cold
2015,N,1833-03292,,29.3,NA,0,A2_2015,15,Wet,Warm
2015,N,1833-03290,,50,NA,0,A2_2015,15,Wet,Warm
2015,N,1833-03291,,46.7,NA,0,A2_2015,15,Wet,Warm
2017,N,1833-03561,,47.6,NA,0,A2_2017,15,Dry,Warm
2018,N,1833-32546,,56.6,NA,0,A2_2018,15,Wet,Warm
2018,N,1833-32546?,,49.4,NA,0,A2_2018,15,Wet,Warm
2006,N,64504,M,42.5,NA,0,A20_2006,15,Dry,Cold
2006,N,64505,M,41.5,NA,0,A20_2006,15,Dry,Cold
2020,N,1783-74405,,55.1,NA,0,A24_2020,15,Dry,Cold
2007,N,64543,M,40,NA,0,A29_2007,15,Wet,Warm
2013,N,1783-64423,,57,NA,0,A29_2013,15,Dry,Cold
2013,N,1783-64422,,55.8,NA,0,A29_2013,15,Dry,Cold
2014,N,1783-64548,,56.1,NA,0,A29_2014,15,Dry,Warm
2014,N,1783-64547,,52.8,NA,0,A29_2014,15,Dry,Warm
2016,N,1783-74318,,42.3,NA,0,A29_2016,15,Dry,Cold
2016,N,1783-74317,,49.6,NA,0,A29_2016,15,Dry,Cold
2016,N,1783-74344,,30.6,NA,0,A29_2016,15,Dry,Cold
2007,N,64569,M,45,NA,0,A4_2007,15,Wet,Warm
2007,N,64570,M,49.5,NA,0,A4_2007,15,Wet,Warm
2010,N,64815,F,48.5,NA,0,A4_2010,15,Dry,Cold
2012,N,1783-64340,,45.9,NA,0,A4_2012,15,Wet,Warm
2012,N,1783-64339,,39.3,NA,0,A4_2012,15,Wet,Warm
2016,N,1783-74308,,56.6,NA,0,A4_2016,15,Dry,Cold
2016,N,1783-74309,,51.5,NA,0,A4_2016,15,Dry,Cold
2018,N,1833-32526,,42.7,NA,0,A40_2018,15,Wet,Warm
2018,N,1833-32525,,46.7,NA,0,A40_2018,15,Wet,Warm
2005,N,64454,F,56,NA,0,A41_2005,15,Wet,Warm
2005,N,64455,M,49,NA,0,A41_2005,15,Wet,Warm
2015,N,1833-03285,,54.4,NA,0,A7_2015,15,Wet,Warm
2005,N,64444,F,54.5,NA,0,A8_2005,15,Wet,Warm
2006,N,64517,M,48,NA,0,A8_2006,15,Dry,Cold
2007,N,64538,M,48.5,NA,0,A8_2007,15,Wet,Warm
2007,N,64539,F,51.5,NA,0,A8_2007,15,Wet,Warm
2007,N,64540,F,49.5,NA,0,A8_2007,15,Wet,Warm
2004,N,64406,M,53.5,NA,0,A8_2004,15,Dry,Cold
2004,N,64407,F,56.5,NA,0,A8_2004,15,Dry,Cold
2013,N,1833-64417,,51.9,NA,0,A8_2013,15,Dry,Cold
2013,N,1833-64418,,49.3,NA,0,A8_2013,15,Dry,Cold
2019,N,1833-32620,,55.9,NA,0,A8_2019,15,Dry,Cold
2011,N,64834,F,40.5,NA,0,B10_2011,15,Wet,Warm
2016,N,1783-74364,,50.6,NA,0,B10_2016,15,Dry,Cold
2007,N,64544,F,49.5,NA,0,B11_2007,15,Wet,Warm
2012,N,1783-64342,,43.4,NA,0,B14_2012,15,Wet,Warm
2015,N,1833-03158,,56.2,NA,0,B17_2015,15,Wet,Warm
2013,N,1783-64406,,45.3,NA,0,B18_2013,15,Dry,Cold
2005,N,64429,F,32,NA,0,B4_2005,15,Wet,Warm
2004,N,92374,,59,NA,0,B6_2004,15,Dry,Cold
2018,N,1833-32544,,47.1,NA,0,B8_2018,15,Wet,Warm
2004,N,1783-92341,,62.5,NA,0,A10_2004,16,Dry,Cold
2004,N,1783-92342,,60,NA,0,A10_2004,16,Dry,Cold
2011,N,red,,41.8,NA,0,A10_2011,16,Wet,Warm
2011,N,64885,F,54.1,NA,0,A10_2011,16,Wet,Warm
2012,N,1593-64880,,54.9,NA,0,A10_2012,16,Wet,Warm
2012,N,1783-64303,,55.1,NA,0,A10_2012,16,Wet,Warm
2012,N,1593-64860,,59.3,NA,0,A10_2012,16,Wet,Warm
2005,N,64421,F,53,NA,0,A11_2005,16,Wet,Warm
2005,N,64424,F,56,NA,0,A11_2005,16,Wet,Warm
2006,N,64493,F,40.5,NA,0,A27_2006,16,Dry,Cold
2006,N,64494,M,34.5,NA,0,A27_2006,16,Dry,Cold
2005,N,64463,F,55,NA,0,A13_2005,16,Wet,Warm
2005,N,64465,M,55,NA,0,A13_2005,16,Wet,Warm
2004,N,92369,F,57.5,NA,0,A13_2004,16,Dry,Cold
2018,N,1833-32542,,62.2,NA,0,A13_2018,16,Wet,Warm
2018,N,1833-32540,,65.4,NA,0,A13_2018,16,Wet,Warm
2020,N,1833-32636,,54.6,NA,0,A13_2020,16,Dry,Cold
2014,N,1783-64559,,47.5,NA,0,A15_2014,16,Dry,Warm
2014,N,1783-64560,,51.1,NA,0,A15_2014,16,Dry,Warm
2004,N,92365,F,53,NA,0,A18_2004,16,Dry,Cold
2004,N,92366,M,55.5,NA,0,A18_2004,16,Dry,Cold
2010,N,64779,F,41.1,NA,0,A18_2010,16,Dry,Cold
2010,N,64778,,49.6,NA,0,A18_2010,16,Dry,Cold
2010,N,64780,F,55.9,NA,0,A18_2010,16,Dry,Cold
2011,N,64852,F,50.4,NA,0,A18_2011,16,Wet,Warm
2011,N,64883,F,48,NA,0,A18_2011,16,Wet,Warm
2013,N,1783-64426,,49.1,NA,0,A18_2013,16,Dry,Cold
2013,N,1783-64425,,51.4,NA,0,A18_2013,16,Dry,Cold
2013,N,1783-64424,,45.2,NA,0,A18_2013,16,Dry,Cold
2014,N,1783-64575,,58.1,NA,0,A18_2014,16,Dry,Warm
2020,N,1833-32695,,50.6,NA,0,A18_2020,16,Dry,Cold
2008,N,64637,F,52,NA,0,A2_2008,16,Dry,Cold
2008,N,64638,M,50,NA,0,A2_2008,16,Dry,Cold
2008,N,64639,M,51,NA,0,A2_2008,16,Dry,Cold
2009,N,64693,F,39.9,NA,0,A2_2009,16,Dry,Cold
2009,N,64714,F,46.4,NA,0,A2_2009,16,Dry,Cold
2009,N,64715,F,49.2,NA,0,A2_2009,16,Dry,Cold
2015,N,1833-03292,,34.1,NA,0,A2_2015,16,Wet,Warm
2015,N,1833-03290,,49.3,NA,0,A2_2015,16,Wet,Warm
2015,N,1833-03291,,46,NA,0,A2_2015,16,Wet,Warm
2019,N,1833-32616,,50.5,NA,0,A2_2019,16,Dry,Cold
2019,N,1833-32618,,50.2,NA,0,A2_2019,16,Dry,Cold
2019,N,1833-32617,,50,NA,0,A2_2019,16,Dry,Cold
2006,N,64504,M,36.5,NA,0,A20_2006,16,Dry,Cold
2006,N,64505,M,36,NA,0,A20_2006,16,Dry,Cold
2014,N,1783-64489,,54.5,NA,0,A20_2014,16,Dry,Warm
2016,N,1783-74371 ,,55.1,NA,0,A20_2016,16,Dry,Cold
2016,N,1783-74370 ,,53.8,NA,0,A20_2016,16,Dry,Cold
2018,N,1833-32517,,59,NA,0,A24_2018,16,Wet,Warm
2013,N,1783-64423,,58.3,NA,0,A29_2013,16,Dry,Cold
2013,N,1783-64422,,59.4,NA,0,A29_2013,16,Dry,Cold
2014,N,1783-64548,,51.1,NA,0,A29_2014,16,Dry,Warm
2014,N,1783-64547,,41.4,NA,0,A29_2014,16,Dry,Warm
2016,N,1783-74318,,43.2,NA,0,A29_2016,16,Dry,Cold
2016,N,1783-74344,,33.7,NA,0,A29_2016,16,Dry,Cold
2007,N,64570,M,55,NA,0,A4_2007,16,Wet,Warm
2010,N,64815,F,48.4,NA,0,A4_2010,16,Dry,Cold
2012,N,1783-64340,,47.7,NA,0,A4_2012,16,Wet,Warm
2012,N,1783-64339,,43.1,NA,0,A4_2012,16,Wet,Warm
2016,N,1783-74309,,56,NA,0,A4_2016,16,Dry,Cold
2018,N,1833-32526,,46.4,NA,0,A40_2018,16,Wet,Warm
2005,N,64454,F,57.5,NA,0,A41_2005,16,Wet,Warm
2005,N,64455,M,40.5,NA,0,A41_2005,16,Wet,Warm
2014,N,1783-64578,,52.7,NA,0,A41_2014,16,Dry,Warm
2017,N,1833-03560,,29.2,NA,0,A43_2017,16,Dry,Warm
2020,N,1833-32670,,46.9,NA,0,A43_2020,16,Dry,Cold
2020,N,1833-32683,,56,NA,0,A7_2020,16,Dry,Cold
2020,N,1833-32684,,75,NA,0,A7_2020,16,Dry,Cold
2007,N,64538,M,55,NA,0,A8_2007,16,Wet,Warm
2007,N,64539,F,54.5,NA,0,A8_2007,16,Wet,Warm
2007,N,64540,F,54,NA,0,A8_2007,16,Wet,Warm
2004,N,64407,F,58.5,NA,0,A8_2004,16,Dry,Cold
2013,N,1833-64417,,51.7,NA,0,A8_2013,16,Dry,Cold
2013,N,1833-64418,,52.1,NA,0,A8_2013,16,Dry,Cold
2019,N,1833-32619,,58.4,NA,0,A8_2019,16,Dry,Cold
2008,N,64608,F,58.5,NA,0,B10_2008,16,Dry,Cold
2008,N,64609,M,52.5,NA,0,B10_2008,16,Dry,Cold
2015,N,1833-03192,,55.1,NA,0,B10_2015,16,Wet,Warm
2013,N,1783-64402,,41.3,NA,0,B12_2013,16,Dry,Cold
2016,N,1783-74339,,35.9,NA,0,B13_2016,16,Dry,Cold
2012,N,1783-64316,,47,NA,0,B14_2012,16,Wet,Warm
2009,N,64695,F,46.8,NA,0,B4_2009,16,Dry,Cold
2009,N,64696,M,49,NA,0,B4_2009,16,Dry,Cold
2019,N,1833-32647,,47.1,NA,0,B5_2019,16,Dry,Cold
2007,N,64567,M,44,NA,0,B6_2007,16,Wet,Warm
2007,N,64568,M,51,NA,0,B6_2007,16,Wet,Warm
2004,N,92377,,62.5,NA,0,B6_2004,16,Dry,Cold
2015,N,1833-03253,,57.4,NA,0,B6_2015,16,Wet,Warm
2017,N,1833-03579,,50.1,NA,0,B6_2017,16,Dry,Warm
2018,N,1833-32543,,50.9,NA,0,B8_2018,16,Wet,Warm
2018,N,1833-32544,,48.7,NA,0,B8_2018,16,Wet,Warm
2009,N,64689,M,44.5,NA,0,A10_2009,17,Dry,Cold
2009,N,64707,F,46.6,NA,0,A10_2009,17,Dry,Cold
2009,N,64716,M,46.5,NA,0,A10_2009,17,Dry,Cold
2011,N,red,,44.5,NA,0,A10_2011,17,Wet,Warm
2011,N,64885,F,56.3,NA,0,A10_2011,17,Wet,Warm
2012,N,1593-64880,,56.5,NA,0,A10_2012,17,Wet,Warm
2012,N,1783-64303,,55.9,NA,0,A10_2012,17,Wet,Warm
2005,N,64421,F,55,NA,0,A11_2005,17,Wet,Warm
2005,N,64423,M,56.5,NA,0,A11_2005,17,Wet,Warm
2007,N,64541,F,60,NA,0,A11_2007,17,Wet,Warm
2005,N,64463,F,57.5,NA,0,A13_2005,17,Wet,Warm
2005,N,64464,M,53,NA,0,A13_2005,17,Wet,Warm
2005,N,64465,M,55.5,NA,0,A13_2005,17,Wet,Warm
2008,N,64640,M,52.5,NA,0,A13_2008,17,Dry,Cold
2008,N,64658,F,52.5,NA,0,A13_2008,17,Dry,Cold
2004,N,92369,F,58,NA,0,A13_2004,17,Dry,Cold
2004,N,92370,,56.5,NA,0,A13_2004,17,Dry,Cold
2015,N,1833-03157,,58,NA,0,A13_2015,17,Wet,Warm
2019,N,1833-32599,,57.6,NA,0,A13_2019,17,Dry,Cold
2019,N,1833-32600,,53.7,NA,0,A13_2019,17,Dry,Cold
2020,N,1833-32642,,52.6,NA,0,A13_2020,17,Dry,Cold
2020,N,1833-32640,,57.7,NA,0,A13_2020,17,Dry,Cold
2014,N,1783-64559,,52.1,NA,0,A15_2014,17,Dry,Warm
2014,N,1783-64560,,53.4,NA,0,A15_2014,17,Dry,Warm
2004,N,92365,F,56,NA,0,A18_2004,17,Dry,Cold
2004,N,92366,M,57,NA,0,A18_2004,17,Dry,Cold
2010,N,64779,F,42.6,NA,0,A18_2010,17,Dry,Cold
2010,N,64778,,52.5,NA,0,A18_2010,17,Dry,Cold
2010,N,64780,F,58.8,NA,0,A18_2010,17,Dry,Cold
2011,N,red,,51.5,NA,0,A18_2011,17,Wet,Warm
2011,N,64852,F,53.8,NA,0,A18_2011,17,Wet,Warm
2011,N,64883,F,50.5,NA,0,A18_2011,17,Wet,Warm
2013,N,1783-64426,,50.8,NA,0,A18_2013,17,Dry,Cold
2013,N,1783-64425,,52.2,NA,0,A18_2013,17,Dry,Cold
2013,N,1783-64424,,47.6,NA,0,A18_2013,17,Dry,Cold
2005,N,64472,F,52.5,NA,0,A2_2005,17,Wet,Warm
2008,N,64637,F,52,NA,0,A2_2008,17,Dry,Cold
2008,N,64638,M,52,NA,0,A2_2008,17,Dry,Cold
2008,N,64639,M,52,NA,0,A2_2008,17,Dry,Cold
2009,N,64715,F,50.8,NA,0,A2_2009,17,Dry,Cold
2015,N,1833-03292,,38.1,NA,0,A2_2015,17,Wet,Warm
2015,N,1833-03290,,53,NA,0,A2_2015,17,Wet,Warm
2015,N,1833-03291,,49.3,NA,0,A2_2015,17,Wet,Warm
2017,N,1833-03561,,51.5,NA,0,A2_2017,17,Dry,Warm
2014,N,1783-64485,,53.8,NA,0,A27_2014,17,Dry,Warm
2013,N,1783-64423,,63.3,NA,0,A29_2013,17,Dry,Cold
2013,N,1783-64422,,57.2,NA,0,A29_2013,17,Dry,Cold
2014,N,1783-64548,,56.5,NA,0,A29_2014,17,Dry,Warm
2014,N,1783-64547,,53.5,NA,0,A29_2014,17,Dry,Warm
2016,N,1783-74317,,53.6,NA,0,A29_2016,17,Dry,Cold
2016,N,1783-74344,,35.2,NA,0,A29_2016,17,Dry,Cold
2007,N,64570,M,51,NA,0,A4_2007,17,Wet,Warm
2010,N,64815,F,50.6,NA,0,A4_2010,17,Dry,Cold
2012,N,1783-64340,,47.7,NA,0,A4_2012,17,Wet,Warm
2012,N,1783-64339,,51.6,NA,0,A4_2012,17,Wet,Warm
2014,N,1783-64579,,65,NA,0,A4_2014,17,Dry,Warm
2014,N,1783-64580,,59.4,NA,0,A4_2014,17,Dry,Warm
2014,N,1783-64581,,60.3,NA,0,A4_2014,17,Dry,Warm
2016,N,1783-74308,,55.2,NA,0,A4_2016,17,Dry,Cold
2014,N,1783-64539,,42.1,NA,0,A40_2014,17,Dry,Warm
2005,N,64454,F,60,NA,0,A41_2005,17,Wet,Warm
2005,N,64455,M,51,NA,0,A41_2005,17,Wet,Warm
2004,N,92358,,57,NA,0,A41_2004,17,Dry,Cold
2015,N,1833-03268,,45.8,NA,0,A44_2015,17,Wet,Warm
2007,N,64538,M,55.5,NA,0,A8_2007,17,Wet,Warm
2007,N,64539,F,54,NA,0,A8_2007,17,Wet,Warm
2007,N,64540,F,50,NA,0,A8_2007,17,Wet,Warm
2004,N,64407,F,60,NA,0,A8_2004,17,Dry,Cold
2011,N,64803,M,34.4,NA,0,A8_2011,17,Wet,Warm
2011,N,64808,M,48.6,NA,0,A8_2011,17,Wet,Warm
2013,N,1833-64417,,49.3,NA,0,A8_2013,17,Dry,Cold
2013,N,1833-64418,,51.1,NA,0,A8_2013,17,Dry,Cold
2019,N,1833-32620,,61.4,NA,0,A8_2019,17,Dry,Cold
2013,N,1783-64401,,44.1,NA,0,B12_2013,17,Dry,Cold
2019,N,1833-32627,,54.6,NA,0,B13_2019,17,Dry,Cold
2005,N,64473,F,62,NA,0,B14_2005,17,Wet,Warm
2005,N,64474,F,63.5,NA,0,B14_2005,17,Wet,Warm
2013,N,1783-64404,,52.3,NA,0,B18_2013,17,Dry,Cold
2005,N,64442,F,42,NA,0,B4_2005,17,Wet,Warm
2005,N,64449,F,55.5,NA,0,B4_2005,17,Wet,Warm
2005,N,64450,M,50,NA,0,B4_2005,17,Wet,Warm
2015,N,1833-03278,,37.5,NA,0,B5_2015,17,Wet,Warm
2017,N,1833-03578,,46.8,NA,0,B6_2017,17,Dry,Warm
2007,N,64564,M,49.5,NA,0,B8_2007,17,Wet,Warm
2018,N,1833-32543,,53.3,NA,0,B8_2018,17,Wet,Warm
2018,N,1833-32544,,52.1,NA,0,B8_2018,17,Wet,Warm
2011,N,red,,46.7,NA,0,A10_2011,18,Wet,Warm
2011,N,64885,F,59,NA,0,A10_2011,18,Wet,Warm
2012,N,1593-64880,,57.2,NA,0,A10_2012,18,Wet,Warm
2012,N,1593-64860,,55.8,NA,0,A10_2012,18,Wet,Warm
2005,N,64421,F,57,NA,0,A11_2005,18,Wet,Warm
2005,N,64423,M,60.5,NA,0,A11_2005,18,Wet,Warm
2005,N,64424,F,62.5,NA,0,A11_2005,18,Wet,Warm
2006,N,64493,F,39,NA,0,A27_2006,18,Dry,Cold
2006,N,64494,M,32.5,NA,0,A27_2006,18,Dry,Cold
2005,N,64464,M,54,NA,0,A13_2005,18,Wet,Warm
2004,N,92369,F,60.5,NA,0,A13_2004,18,Dry,Cold
2004,N,92370,,57,NA,0,A13_2004,18,Dry,Cold
2013,N,1783-64378,,55.3,NA,0,A13_2013,18,Dry,Cold
2013,N,red,,55.6,NA,0,A13_2013,18,Dry,Cold
2015,N,1833-03155,,60.3,NA,0,A13_2015,18,Wet,Warm
2015,N,1833-03156,,60.3,NA,0,A13_2015,18,Wet,Warm
2014,N,1783-64559,,53.7,NA,0,A15_2014,18,Dry,Warm
2014,N,1783-64560,,55,NA,0,A15_2014,18,Dry,Warm
2015,N,1833-03194,,61.4,NA,0,A15_2015,18,Wet,Warm
2015,N,1833-03200,,61.4,NA,0,A15_2015,18,Wet,Warm
2017,N,1833-03567 ,,43.5,NA,0,A15_2017,18,Dry,Warm
2004,N,92365,F,59.5,NA,0,A18_2004,18,Dry,Cold
2004,N,92366,M,54.5,NA,0,A18_2004,18,Dry,Cold
2010,N,64779,F,43.6,NA,0,A18_2010,18,Dry,Cold
2010,N,64778,,54.5,NA,0,A18_2010,18,Dry,Cold
2010,N,64780,F,60.2,NA,0,A18_2010,18,Dry,Cold
2011,N,red,,52.6,NA,0,A18_2011,18,Wet,Warm
2013,N,1783-64426,,55.3,NA,0,A18_2013,18,Dry,Cold
2013,N,1783-64425,,53.8,NA,0,A18_2013,18,Dry,Cold
2013,N,1783-64424,,52.3,NA,0,A18_2013,18,Dry,Cold
2020,N,1833-32694,,59.6,NA,0,A18_2020,18,Dry,Cold
2008,N,64637,F,54,NA,0,A2_2008,18,Dry,Cold
2008,N,64638,M,53,NA,0,A2_2008,18,Dry,Cold
2008,N,64639,M,53,NA,0,A2_2008,18,Dry,Cold
2009,N,64693,F,42.6,NA,0,A2_2009,18,Dry,Cold
2009,N,64714,F,50.6,NA,0,A2_2009,18,Dry,Cold
2015,N,1833-03292,,41.6,NA,0,A2_2015,18,Wet,Warm
2015,N,1833-03290,,53,NA,0,A2_2015,18,Wet,Warm
2015,N,1833-03291,,49.6,NA,0,A2_2015,18,Wet,Warm
2006,N,64504,M,39,NA,0,A20_2006,18,Dry,Cold
2006,N,64505,M,38.5,NA,0,A20_2006,18,Dry,Cold
2013,N,1783-64414,,57.6,NA,0,A20_2013,18,Dry,Cold
2013,N,1783-64415,,57.3,NA,0,A20_2013,18,Dry,Cold
2014,N,1783-64488,,59.4,NA,0,A20_2014,18,Dry,Warm
2015,N,1833-03167 ,,37.1,NA,0,A20_2015,18,Wet,Warm
2017,N,1833-03565,,37,NA,0,A20_2017,18,Dry,Warm
2018,N,1833-32564,,48.8,NA,0,A20_2018,18,Wet,Warm
2016,N,1783-74367,,61.1,NA,0,A24_2016,18,Dry,Cold
2018,N,1833-32515,,61.5,NA,0,A24_2018,18,Wet,Warm
2018,N,1833-32516,,57.8,NA,0,A24_2018,18,Wet,Warm
2013,N,1783-64419,,48.9,NA,0,A27_2013,18,Dry,Cold
2010,N,64753,M,55.6,NA,0,A29_2010,18,Dry,Cold
2010,N,64765,F,50.9,NA,0,A29_2010,18,Dry,Cold
2013,N,1783-64423,,62.2,NA,0,A29_2013,18,Dry,Cold
2013,N,1783-64422,,63,NA,0,A29_2013,18,Dry,Cold
2014,N,1783-64548,,55.7,NA,0,A29_2014,18,Dry,Warm
2014,N,1783-64547,,53.4,NA,0,A29_2014,18,Dry,Warm
2016,N,1783-74318,,49.6,NA,0,A29_2016,18,Dry,Cold
2016,N,1783-74317,,61.5,NA,0,A29_2016,18,Dry,Cold
2007,N,64569,M,44,NA,0,A4_2007,18,Wet,Warm
2007,N,64570,M,52.5,NA,0,A4_2007,18,Wet,Warm
2012,N,1783-64340,,51.6,NA,0,A4_2012,18,Wet,Warm
2012,N,1783-64339,,43.9,NA,0,A4_2012,18,Wet,Warm
2015,N,1833-03289 ,,61.1,NA,0,A4_2015,18,Wet,Warm
2016,N,1783-74308,,60.1,NA,0,A4_2016,18,Dry,Cold
2016,N,1783-74309,,64,NA,0,A4_2016,18,Dry,Cold
2020,N,1833-32638 ,,57.6,NA,0,A4_2020,18,Dry,Cold
2017,N,1833-03582,,56.1,NA,0,A40_2017,18,Dry,Warm
2017,N,1833-03583,,55.3,NA,0,A40_2017,18,Dry,Warm
2018,N,1833-32525,,52.3,NA,0,A40_2018,18,Wet,Warm
2008,N,64666,M,59.5,NA,0,A41_2008,18,Dry,Cold
2014,N,1783-64576,,67.1,NA,0,A41_2014,18,Dry,Warm
